session,order,picture_id,level,answer
1,1,19,Low Unpleasant,4
1,2,5,Low Pleasant,8
1,3,12,High Unpleasant,2
1,4,11,Nautral,5
1,5,3,Low Unpleasant,4
1,6,7,High Pleasant,7
1,7,16,Low Pleasant,8
1,8,15,High Unpleasant,3
1,9,21,Nautral,7
1,10,13,High Pleasant,7
1,11,25,Low Unpleasant,5
1,12,6,High Unpleasant,1
1,13,20,High Pleasant,6
1,14,10,Low Pleasant,7
1,15,9,High Pleasant,6
1,16,4,High Unpleasant,1
1,17,1,Low Pleasant,8
1,18,14,Nautral,7
1,19,17,High Unpleasant,2
1,20,22,Low Pleasant,8
1,21,2,High Pleasant,6
1,22,8,Low Unpleasant,5
1,23,18,Nautral,6
1,24,23,Low Unpleasant,4
1,25,24,Nautral,5
2,1,19,Low Unpleasant,3
2,2,5,Low Pleasant,9
2,3,12,High Unpleasant,3
2,4,11,Nautral,5
2,5,3,Low Unpleasant,4
2,6,7,High Pleasant,7
2,7,16,Low Pleasant,7
2,8,15,High Unpleasant,5
2,9,21,Nautral,6
2,10,13,High Pleasant,7
2,11,25,Low Unpleasant,5
2,12,6,High Unpleasant,2
2,13,20,High Pleasant,7
2,14,10,Low Pleasant,6
2,15,9,High Pleasant,6
2,16,4,High Unpleasant,3
2,17,1,Low Pleasant,8
2,18,14,Nautral,6
2,19,17,High Unpleasant,3
2,20,22,Low Pleasant,7
2,21,2,High Pleasant,6
2,22,8,Low Unpleasant,5
2,23,18,Nautral,6
2,24,23,Low Unpleasant,5
2,25,24,Nautral,6
3,1,19,Low Unpleasant,6
3,2,5,Low Pleasant,9
3,3,12,High Unpleasant,5
3,4,11,Nautral,6
3,5,3,Low Unpleasant,6
3,6,7,High Pleasant,7
3,7,16,Low Pleasant,6
3,8,15,High Unpleasant,4
3,9,21,Nautral,6
3,10,13,High Pleasant,7
3,11,25,Low Unpleasant,5
3,12,6,High Unpleasant,5
3,13,20,High Pleasant,6
3,14,10,Low Pleasant,7
3,15,9,High Pleasant,7
3,16,4,High Unpleasant,3
3,17,1,Low Pleasant,7
3,18,14,Nautral,5
3,19,17,High Unpleasant,4
3,20,22,Low Pleasant,8
3,21,2,High Pleasant,5
3,22,8,Low Unpleasant,4
3,23,18,Nautral,5
3,24,23,Low Unpleasant,5
3,25,24,Nautral,6
4,1,19,Low Unpleasant,4
4,2,5,Low Pleasant,5
4,3,12,High Unpleasant,2
4,4,11,Nautral,6
4,5,3,Low Unpleasant,5
4,6,7,High Pleasant,7
4,7,16,Low Pleasant,6
4,8,15,High Unpleasant,5
4,9,21,Nautral,7
4,10,13,High Pleasant,7
4,11,25,Low Unpleasant,4
4,12,6,High Unpleasant,2
4,13,20,High Pleasant,7
4,14,10,Low Pleasant,5
4,15,9,High Pleasant,6
4,16,4,High Unpleasant,3
4,17,1,Low Pleasant,6
4,18,14,Nautral,6
4,19,17,High Unpleasant,4
4,20,22,Low Pleasant,7
4,21,2,High Pleasant,7
4,22,8,Low Unpleasant,4
4,23,18,Nautral,6
4,24,23,Low Unpleasant,4
4,25,24,Nautral,6
