session,order,picture_id,level,answer
1,1,10,Low Pleasant,10
1,2,9,High Pleasant,10
1,3,23,Low Unpleasant,6
1,4,15,High Unpleasant,1
1,5,21,Nautral,5
1,6,1,Low Pleasant,7
1,7,12,High Unpleasant,3
1,8,8,Low Unpleasant,6
1,9,2,High Pleasant,7
1,10,14,Nautral,6
1,11,4,High Unpleasant,3
1,12,20,High Pleasant,6
1,13,25,Low Unpleasant,5
1,14,18,Nautral,6
1,15,16,Low Pleasant,10
1,16,3,Low Unpleasant,5
1,17,22,Low Pleasant,10
1,18,24,Nautral,4
1,19,17,High Unpleasant,2
1,20,13,High Pleasant,9
1,21,19,Low Unpleasant,5
1,22,11,Nautral,6
1,23,6,High Unpleasant,1
1,24,5,Low Pleasant,10
1,25,7,High Pleasant,7
2,1,10,Low Pleasant,10
2,2,9,High Pleasant,8
2,3,23,Low Unpleasant,4
2,4,15,High Unpleasant,1
2,5,21,Nautral,6
2,6,1,Low Pleasant,9
2,7,12,High Unpleasant,3
2,8,8,Low Unpleasant,5
2,9,2,High Pleasant,9
2,10,14,Nautral,6
2,11,4,High Unpleasant,1
2,12,20,High Pleasant,9
2,13,25,Low Unpleasant,7
2,14,18,Nautral,6
2,15,16,Low Pleasant,9
2,16,3,Low Unpleasant,5
2,17,22,Low Pleasant,8
2,18,24,Nautral,6
2,19,17,High Unpleasant,1
2,20,13,High Pleasant,8
2,21,19,Low Unpleasant,2
2,22,11,Nautral,6
2,23,6,High Unpleasant,1
2,24,5,Low Pleasant,10
2,25,7,High Pleasant,9
3,1,10,Low Pleasant,8
3,2,9,High Pleasant,9
3,3,23,Low Unpleasant,6
3,4,15,High Unpleasant,3
3,5,21,Nautral,6
3,6,1,Low Pleasant,5
3,7,12,High Unpleasant,3
3,8,8,Low Unpleasant,5
3,9,2,High Pleasant,7
3,10,14,Nautral,5
3,11,4,High Unpleasant,2
3,12,20,High Pleasant,8
3,13,25,Low Unpleasant,5
3,14,18,Nautral,6
3,15,16,Low Pleasant,9
3,16,3,Low Unpleasant,4
3,17,22,Low Pleasant,10
3,18,24,Nautral,5
3,19,17,High Unpleasant,2
3,20,13,High Pleasant,8
3,21,19,Low Unpleasant,6
3,22,11,Nautral,6
3,23,6,High Unpleasant,5
3,24,5,Low Pleasant,10
3,25,7,High Pleasant,10
4,1,10,Low Pleasant,7
4,2,9,High Pleasant,9
4,3,23,Low Unpleasant,3
4,4,15,High Unpleasant,2
4,5,21,Nautral,9
4,6,1,Low Pleasant,8
4,7,12,High Unpleasant,1
4,8,8,Low Unpleasant,4
4,9,2,High Pleasant,8
4,10,14,Nautral,6
4,11,4,High Unpleasant,4
4,12,20,High Pleasant,9
4,13,25,Low Unpleasant,3
4,14,18,Nautral,6
4,15,16,Low Pleasant,8
4,16,3,Low Unpleasant,5
4,17,22,Low Pleasant,5
4,18,24,Nautral,5
4,19,17,High Unpleasant,3
4,20,13,High Pleasant,10
4,21,19,Low Unpleasant,2
4,22,11,Nautral,3
4,23,6,High Unpleasant,1
4,24,5,Low Pleasant,10
4,25,7,High Pleasant,10
