Scenario - Repriduction_2015
Logfile written - 10/21/2015 14:47:35

Trial	Event Type	Code	Time	TTime	Uncertainty	Duration	Uncertainty	ReqTime	ReqDur	Stim Type	Pair Index

2	Picture	Pic 10	150330	0	1	100164	2	0	next	other	0
4	Picture	Pic 9	400658	0	1	100164	3	0	next	other	0
6	Picture	Pic 23	650986	0	1	100164	3	0	next	other	0
8	Picture	Pic 15	901314	0	1	100165	2	0	next	other	0
10	Picture	Pic 21	1151642	0	1	100165	2	0	next	other	0
12	Picture	Pic 1	1401970	0	2	100165	3	0	next	other	0
14	Picture	Pic 12	1652299	0	1	100164	2	0	next	other	0
16	Picture	Pic 8	1902627	0	1	100164	2	0	next	other	0
18	Picture	Pic 2	2152955	0	1	100164	3	0	next	other	0
20	Picture	Pic 14	2403283	0	1	100165	2	0	next	other	0
22	Picture	Pic 4	2653611	0	1	100165	2	0	next	other	0
24	Picture	Pic 20	2903939	0	2	100165	3	0	next	other	0
26	Picture	Pic 25	3154267	0	2	100165	3	0	next	other	0
28	Picture	Pic 18	3404596	0	1	100164	2	0	next	other	0
30	Picture	Pic 16	3654924	0	1	100164	3	0	next	other	0
32	Picture	Pic 3	3905252	0	1	100165	2	0	next	other	0
34	Picture	Pic 22	4155580	0	1	100165	2	0	next	other	0
36	Picture	Pic 24	4405908	0	2	100165	3	0	next	other	0
38	Picture	Pic 17	4656237	0	1	100164	2	0	next	other	0
40	Picture	Pic 13	4906565	0	1	100164	2	0	next	other	0
42	Picture	Pic 19	5156893	0	1	100164	3	0	next	other	0
44	Picture	Pic 11	5407221	0	1	100165	2	0	next	other	0
46	Picture	Pic 6	5657549	0	1	100165	2	0	next	other	0
48	Picture	Pic 5	5907877	0	1	100165	2	0	next	other	0
50	Picture	Pic 7	6158205	0	2	100165	3	0	next	other	0


Event Type	Code	Type	Response	RT	RT Uncertainty	Time	Uncertainty	Duration	Uncertainty	ReqTime	ReqDur

Picture	Pic 10	other				150330	1	100164	2	0	next
Picture	Pic 9	other				400658	1	100164	3	0	next
Picture	Pic 23	other				650986	1	100164	3	0	next
Picture	Pic 15	other				901314	1	100165	2	0	next
Picture	Pic 21	other				1151642	1	100165	2	0	next
Picture	Pic 1	other				1401970	2	100165	3	0	next
Picture	Pic 12	other				1652299	1	100164	2	0	next
Picture	Pic 8	other				1902627	1	100164	2	0	next
Picture	Pic 2	other				2152955	1	100164	3	0	next
Picture	Pic 14	other				2403283	1	100165	2	0	next
Picture	Pic 4	other				2653611	1	100165	2	0	next
Picture	Pic 20	other				2903939	2	100165	3	0	next
Picture	Pic 25	other				3154267	2	100165	3	0	next
Picture	Pic 18	other				3404596	1	100164	2	0	next
Picture	Pic 16	other				3654924	1	100164	3	0	next
Picture	Pic 3	other				3905252	1	100165	2	0	next
Picture	Pic 22	other				4155580	1	100165	2	0	next
Picture	Pic 24	other				4405908	2	100165	3	0	next
Picture	Pic 17	other				4656237	1	100164	2	0	next
Picture	Pic 13	other				4906565	1	100164	2	0	next
Picture	Pic 19	other				5156893	1	100164	3	0	next
Picture	Pic 11	other				5407221	1	100165	2	0	next
Picture	Pic 6	other				5657549	1	100165	2	0	next
Picture	Pic 5	other				5907877	1	100165	2	0	next
Picture	Pic 7	other				6158205	2	100165	3	0	next
